t,a_abs (m/s2),a1_measured (m/s2)
0.2033,8.470329472543003e-22,6.882129200000001e-06
0.2067,-1.34848213341189e-05,5.4680354000000005e-06
0.21,2.238836588302022e-06,3.9714592e-06
0.2133,-2.928864592022904e-07,2.3670054e-06
0.2167,8.80961378319651e-05,6.4360557e-07
0.22,0.00025390991039266113,-1.1923149e-06
0.2233,0.0009538732527260616,-3.1153188e-06
0.2267,0.002934140481029842,-5.081259700000001e-06
0.23,0.00952083765299015,-7.029414000000001e-06
0.2333,0.02986636021355681,-8.886291900000001e-06
0.2367,0.09475723307906433,-1.0570823000000002e-05
0.24,0.2987931400692349,-1.2000491e-05
0.2433,0.9443765042772625,-1.3097892e-05
0.2467,2.9813980311082404,-1.3797171e-05
0.25,9.416710325258272,-1.4049762e-05
0.2533,29.73605118989226,-1.3828942e-05
0.2567,93.9091394734273,-1.3132791e-05
0.26,296.5610467157932,-1.1985282e-05
0.2633,936.5442373354756,-1.0435406e-05
0.2667,2957.5965999349296,-8.5543693e-06
0.27,9340.09155459543,-6.4311079999999995e-06
0.2733,29495.967045761365,-4.1664738000000005e-06
0.2767,93148.19598117127,-1.866583e-06
0.28,294161.69756684464,3.6412084e-07
0.2833,928961.8028661896,2.4295181000000002e-06
0.2867,2933658.550764492,4.247632100000001e-06
0.29,9264485.034456005,5.7551534e-06
0.2933,29257216.020688634,6.910327400000001e-06
0.2967,92394201.13575041,7.6940128e-06
0.3,291780611.59534055,8.1088896e-06
0.3033,921442302.0260774,8.1769624e-06
0.3067,2909912042.9722295,7.935660700000001e-06
0.31,9189493559.033176,7.4329598000000005e-06
0.3133,29020393268.648575,6.7220316000000005e-06
0.3167,91646315445.88304,5.855966e-06
0.32,289418791017.5212,4.883084900000001e-06
0.3233,913983679399.8145,3.8433002e-06
0.3267,2886357735341.0996,2.7658516e-06
0.33,9115109125193.76,1.6686138e-06
0.3333,28785487449052.844,5.5899239e-07
0.3367,90904483566695.17,-5.637380800000001e-07
0.34,287076088155611.7,-1.704958e-06
0.3433,906585430742455.9,-2.8705154e-06
0.3467,2862994088135098.5,-4.062338e-06
0.35,9041326796950400.0,-5.2743821e-06
0.3533,2.855248307637994e+16,-6.4894337e-06
0.3567,9.016865645227438e+16,-7.6771943e-06
0.36,2.8475234832147216e+17,-8.793960700000001e-06
0.3633,8.992470672723204e+17,-9.7840436e-06
0.3667,2.839819558168998e+18,-1.0582892000000001e-05
0.37,8.968141700390964e+18,-1.1121710999999999e-05
0.3733,2.8321364759579206e+19,-1.1333178e-05
0.3767,8.94387854966841e+19,-1.1157768000000001e-05
0.38,2.8244741801915626e+20,-1.0550063e-05
0.3833,8.919681042476326e+20,-9.4844398e-06
0.3867,2.8168326146325637e+21,-7.9595323e-06
0.39,8.895549001217293e+21,-6.0009748e-06
0.3933,2.8092117231957067e+22,-3.6620677e-06
0.3967,8.871482248774366e+22,-1.0221919e-06
0.4,2.801611449947518e+23,1.816996e-06
0.4033,8.847480608509797e+23,4.7373514000000005e-06
0.4067,2.7940317391058455e+24,7.6115856999999995e-06
0.41,8.823543904263731e+24,1.0311588e-05
0.4133,2.78647253503946e+25,1.2717038e-05
0.4167,8.799671960352895e+25,1.47236e-05
0.42,2.7789337822676373e+26,1.6249984e-05
0.4233,8.775864601569339e+26,1.7243282999999998e-05
0.4267,2.7714154254597595e+27,1.7682129e-05
0.43,8.752121653179117e+27,1.7577388000000003e-05
0.4333,2.7639174094349022e+28,1.6970364e-05
0.4367,8.728442940921043e+28,1.5928672000000002e-05
0.44,2.756439679161429e+29,1.4540167000000002e-05
0.4433,8.704828291005383e+29,1.2905484e-05
0.4467,2.748982179756597e+30,1.1129858e-05
0.45,8.681277530112595e+30,9.3149605e-06
0.4533,2.7415448564861453e+31,7.5514693000000005e-06
0.4567,8.657790485392028e+31,5.9130099e-06
0.46,2.7341276547638946e+32,4.4519758e-06
0.4633,8.634366984460713e+32,3.1975397000000003e-06
0.4667,2.726730520151343e+33,2.1559576e-06
0.47,8.611006855402022e+33,1.3130472e-06
0.4733,2.7193533983572783e+34,6.385107300000001e-07
0.4767,8.587709926764464e+34,9.1599234e-08
0.48,2.711996235237369e+35,-3.7250781e-07
0.4833,8.5644760275604e+35,-7.962952000000001e-07
0.4867,2.704658976793775e+36,-1.2141557e-06
0.49,8.541304987264804e+36,-1.6478873e-06
0.4933,2.697341569174738e+37,-2.1039106e-06
0.4967,8.518196635813998e+37,-2.5724884999999997e-06
0.5,2.6900439586741997e+38,-3.0290185000000003e-06
0.5033,8.495150803604404e+38,-3.4372496000000002e-06
0.5067,2.682766091731403e+39,-3.7540677000000003e-06
0.51,8.472167321491312e+39,-3.9353262000000004e-06
0.5133,2.675507914930496e+40,-3.9420797e-06
0.5167,8.449246020787618e+40,-3.7465245e-06
0.52,2.6682693750001455e+41,-3.3369710000000002e-06
0.5233,8.426386733262609e+41,-2.7212569000000005e-06
