Tiempo [s],u [m],v [m/s],a [m/s²]
0.2033,0.0,0.0,0.0
0.2067,1.7355819156359404e-11,5.206744727756003e-09,6.2480924503252605e-06
0.21,8.337739554122392e-11,2.5013213766359473e-08,5.023480843122227e-06
0.2133,2.1624731914184368e-10,4.404720413326077e-08,7.770341440131743e-06
0.2167,4.282847431784753e-10,7.008650056082551e-08,7.9361252764638e-06
0.22,7.31433463145712e-10,9.75580372138417e-08,9.157461701598781e-06
0.2233,1.133432532638173e-09,1.2823091682030958e-07,9.335063218391071e-06
0.2267,1.6394951667268361e-09,1.595979813814119e-07,9.635280450522497e-06
0.23,2.2511379715472947e-09,1.9152220747691854e-07,9.40322246454494e-06
0.2333,2.9668854165645727e-09,2.22560211729998e-07,9.035930419724492e-06
0.2367,3.782162545501192e-09,2.52113034297386e-07,8.355588880201757e-06
0.24,4.6898610096487885e-09,2.792724780396929e-07,7.524559470839426e-06
0.2433,5.6806923714640325e-09,3.0351981781498215e-07,6.5231236225124285e-06
0.2467,6.743773410356303e-09,3.243601866585597e-07,5.439066849682916e-06
0.25,7.867131663998229e-09,3.415399667230655e-07,4.298531493099743e-06
0.2533,9.038247529956133e-09,3.5491680129695916e-07,3.156603867366408e-06
0.2567,1.024451264207864e-08,3.6450996654129715e-07,2.041984437823679e-06
0.26,1.1473627368117467e-08,3.7043599966801123e-07,9.85285046654474e-07
0.2633,1.2713891958336344e-08,3.7290037526895757e-07,1.3950023293406091e-09
0.2667,1.3954398957341904e-08,3.7215318935997056e-07,-9.008079222702794e-07
0.27,1.518511956921788e-08,3.684654378781012e-07,-1.7228771452379227e-06
0.2733,1.6396899423069024e-08,3.6209815376297437e-07,-2.4721080068641316e-06
0.2767,1.7581378664637017e-08,3.532836125075846e-07,-3.161123415479009e-06
0.28,1.8730860982783823e-08,3.422103579167175e-07,-3.804532661671206e-06
0.2833,1.983815642007569e-08,3.2901812166071707e-07,-4.417082423539407e-06
0.2867,2.089642439607794e-08,3.1379942791797074e-07,-5.011181646047065e-06
