t,u (m),v (m/s),a (m/s2)
0.2033,0.0,0.0,0.0
0.2067,1.7355819156359404e-11,9.256435071566227e-09,1.1107719911689353e-05
0.21,1.1609488112466711e-10,4.9575344384911745e-08,1.5059521970672793e-05
0.2133,3.702045433853333e-10,1.0254412731178323e-07,1.8383961158698493e-05
0.2167,8.180757239795293e-10,1.6591691526688563e-07,2.089544718476234e-05
0.22,1.4896520306782923e-09,2.368665265071681e-07,2.245317526911101e-05
0.2233,2.4047531140730423e-09,3.121402874652207e-07,2.296896966171481e-05
0.2267,3.5719553509778655e-09,3.882389861610254e-07,2.2411511575441134e-05
0.23,4.9880865119475106e-09,4.6160671024747226e-07,2.0806716944495427e-05
0.2333,6.638349441159783e-09,5.288188083030888e-07,1.8234351046195424e-05
0.2367,8.497048118681858e-09,5.867557144133127e-07,1.4821220585220072e-05
0.24,1.0528850969234506e-08,6.327517612326411e-07,1.0731583623790324e-05
0.2433,1.2690493861971372e-08,6.647103864422399e-07,6.155591873572249e-06
0.2467,1.493280129254711e-08,6.811799442813953e-07,1.296689917831221e-06
0.25,1.720289020634623e-08,6.81387482667366e-07,-3.6410237390762408e-06
0.2533,1.944641759703198e-08,6.652311378412423e-07,-8.46453877924999e-06
0.2567,2.1609740196186267e-08,6.332348159715557e-07,-1.300196239044422e-05
0.26,2.3641871095641e-08,5.864714236891385e-07,-1.7110172583587196e-05
0.2633,2.5496142272538275e-08,5.264628912612806e-07,-2.0679707067613338e-05
0.2667,2.7131511279287377e-08,4.5506634296587503e-07,-2.3636719981727227e-05
0.27,2.8513482068500173e-08,3.743561118911489e-07,-2.594209838693358e-05
0.2733,2.9614641307593826e-08,2.8651076129067905e-07,-2.758810492628032e-05
0.2767,3.041483985155912e-08,1.9371295138093823e-07,-2.8593035316110973e-05
0.28,3.0901072109385964e-08,9.8068176077019e-08,-2.8994601950925968e-05
0.2833,3.106712218068913e-08,1.546029068718766e-09,-2.8842747885657463e-05
0.2867,3.091305383113182e-08,-9.405473870823178e-08,-2.8192655220260756e-05
0.29,3.044462152141016e-08,-1.871185568213677e-07,-2.709859421576263e-05
0.2933,2.967267229229715e-08,-2.7620603797608697e-07,-2.560917381313567e-05
0.2967,2.8612594620171126e-08,-3.6003261042330394e-07,-2.3764345807717976e-05
0.3,2.7283852112180693e-08,-4.3743877983550197e-07,-2.1594347689999408e-05
0.3033,2.5709619250134644e-08,-5.073584414421115e-07,-1.9120534434911222e-05
0.3067,2.391651554243264e-08,-5.68791349938494e-07,-1.6357872461307233e-05
0.31,2.1934415587746173e-08,-6.207849692089348e-07,-1.3318713528128926e-05
0.3133,1.979629751472894e-08,-6.624295197366745e-07,-1.0017310267255047e-05
0.3167,1.7538082546150318e-08,-6.928682366783183e-07,-6.474522378634438e-06
0.32,1.519841487784213e-08,-7.113229664904316e-07,-2.7221043039085942e-06
0.3233,1.2818333870074068e-08,-7.171332798299226e-07,1.1939382690872947e-06
0.3267,1.0440799381771687e-08,-7.098056173613085e-07,5.211378433922982e-06
0.33,8.110044940288848e-09,-6.890676158791688e-07,9.251461605770187e-06
0.3333,5.870750919127547e-09,-6.549219639036006e-07,1.3220389533097925e-05
0.3367,3.7670491875592796e-09,-6.076938459957156e-07,1.7012561797030614e-05
0.34,1.8413899971740144e-09,-5.480663146920438e-07,2.0515338167750898e-05
0.3433,1.3331924483272584e-10,-4.770988144060209e-07,2.3614969170831968e-05
0.3467,-1.3217719817486474e-09,-3.962253600362588e-07,2.6203218735324002e-05
0.35,-2.4938547540997916e-09,-3.0723051180770736e-07,2.8184140764808175e-05
0.3533,-3.3593525576773953e-09,-2.122031007866649e-07,2.9480448610391316e-05
0.3567,-3.902043377616198e-09,-1.1346950433914627e-07,3.0038946714889018e-05
0.36,-4.1137113593305165e-09,-1.3509971222534306e-08,2.983457611635479e-05
0.3633,-3.994499753926859e-09,8.513711100132059e-08,2.8872747148922935e-05
0.3667,-3.5529348341764323e-09,1.7997710358455218e-07,2.7189727376695632e-05
0.37,-2.8056110587319242e-09,2.686606819147499e-07,2.4851091035781232e-05
0.3733,-1.776549244870435e-09,3.49078661402675e-07,2.1948283389255558e-05
0.3767,-4.962602123741353e-10,4.1944405358179156e-07,1.8593603919456093e-05
0.38,9.994352683848943e-10,4.783563576858928e-07,1.4913939328985184e-05
0.3833,2.6707648057865687e-09,5.24844316253184e-07,1.1043721374508118e-05
0.3867,4.475465689366819e-09,5.583849715130482e-07,7.117614310143519e-06
0.39,6.370269447320483e-09,5.788985381140355e-07,3.263432172442075e-06
0.3933,8.31233109346819e-09,5.867202688270301e-07,-4.042214989334982e-07
0.3967,1.0260531026906793e-08,5.825520625611738e-07,-3.789182043181335e-06
0.4,1.2176588823137684e-08,5.673978416100619e-07,-6.817515452303628e-06
0.4033,1.4025943148640625e-08,5.424876752946231e-07,-9.439647370611804e-06
0.4067,1.577836959762015e-08,5.091962315751189e-07,-1.1630782531936438e-05
0.41,1.7408326995699655e-08,4.689612306284395e-07,-1.3389644089640872e-05
0.4133,1.8895041217317603e-08,4.232073440936528e-07,-1.4735720825957544e-05
0.4167,2.0222352558311312e-08,3.7328030022469364e-07,-1.5705278437805852e-05
0.42,2.137836697952171e-08,3.203950106384505e-07,-1.6346499768156576e-05
0.4233,2.2354962201718748e-08,2.6560030347818603e-07,-1.6714136417437984e-05
0.4267,2.3147206046666623e-08,2.097615320107739e-07,-1.6864103392936777e-05
0.43,2.3752746323837202e-08,1.5356092760405592e-07,-1.684840190861864e-05
0.4333,2.4171228977300783e-08,9.751427772541602e-08,-1.6710760964040818e-05
0.4367,2.4403794479383745e-08,4.200129999629296e-08,-1.6483277343705217e-05
0.44,2.445269223063114e-08,-1.2693800943862038e-08,-1.6184276250056657e-05
0.4433,2.4321039923669718e-08,-6.633577124170328e-08,-1.5817523007589556e-05
0.4467,2.4012740368306897e-08,-1.1869025160034174e-07,-1.537279511035853e-05
0.45,2.3532553304028146e-08,-1.6947870628668666e-07,-1.4827748363133994e-05
0.4533,2.2886305354384197e-08,-2.183404938513387e-07,-1.415088851131976e-05
0.4567,2.2081208530501865e-08,-2.648055754290792e-07,-1.330542144541691e-05
0.46,2.1126247460296202e-08,-3.0828051391799023e-07,-1.2253651638867418e-05
0.4633,2.003258849699742e-08,-3.4804932359259365e-07,-1.0961607351857757e-05
0.4667,1.8813960538526967e-08,-3.8328960987657327e-07,-9.403513207816679e-06
0.47,1.748695796261004e-08,-4.13103210962117e-07,-7.565774676459336e-06
0.4733,1.6071220519663276e-08,-4.3655946368113646e-07,-5.4501737239427905e-06
0.4767,1.4589452926770008e-08,-4.527482285830187e-07,-3.075992907945623e-06
0.48,1.3067257812327602e-08,-4.6083898119826045e-07,-4.809225140634073e-07
0.4833,1.1532768742215138e-08,-4.6014181131154004e-07,2.2793712425005383e-06
0.4867,1.0016084389068248e-08,-4.5016587614609125e-07,5.13300612784765e-06
0.49,8.548519571653806e-09,-4.306709542178283e-07,7.994883351323971e-06
0.4933,7.161702764308071e-09,-4.0170811959800555e-07,1.0770744686903824e-05
0.4967,5.886561828242324e-09,-3.6364621873007966e-07,1.3362038040661399e-05
0.5,4.752249294345739e-09,-3.1718171448271614e-07,1.5671280061075262e-05
0.5033,3.7850648242609224e-09,-2.633305484327104e-07,1.7607546427994387e-05
0.5067,3.0074349817029425e-09,-2.0340187130252813e-07,1.9091759195937647e-05
0.51,2.4370090079719926e-09,-1.3895464767537736e-07,2.006137562713501e-05
0.5133,2.085923920564945e-09,-7.173936564324917e-08,2.04741957693427e-05
0.5167,1.9602832593550454e-09,-3.6280181856782746e-09,2.031101364277929e-05
0.52,2.0598818610386193e-09,6.346363487396347e-08,1.957692698446461e-05
0.5233,2.3781948150582344e-09,1.2765698579603787e-07,1.8301225075093145e-05
